ID,timeStamp,x,y,pressure,areaCover,pointerCount,actionCode,screenOrientationStr,azimuth,pitch,poll,gx,gy,gz,sx,sy,sz,label
370,11014541,923.3301392,580.647644,0.43921572,4.129032135,1,2,landscape,176.9439697,1.298612237,2.364490509,0.407012939,-0.210693359,9.646255493,-0.003372192,-0.00213623,-0.001037598,1
371,11014575,911.8256836,596.178833,0.43921572,4.129032135,1,2,landscape,176.9431152,1.302482486,2.371613264,0.416595459,-0.210693359,9.651031494,-0.000183105,-0.00213623,-0.001037598,1
372,11014641,899.4873657,610.3681641,0.43921572,4.129032135,1,2,landscape,176.9524536,1.298299432,2.374621391,0.383071899,-0.23223877,9.560058594,0.005142212,-0.001068115,-0.001037598,1
373,11014675,896.1760254,616.0415039,0.43921572,4.129032135,1,2,landscape,176.9412842,1.297546744,2.382014275,0.433349609,-0.210693359,9.629486084,-0.000183105,-1.53E-05,3.05E-05,1
374,11014741,890.5361328,624.3552246,0.43921572,4.129032135,1,2,landscape,176.8748169,1.312908292,2.376976728,0.409408569,-0.27293396,9.593582153,0.005142212,0.001052856,0.001098633,1
375,11014775,886.538269,628.3515015,0.43921572,4.129032135,1,2,landscape,176.8639526,1.310353994,2.374402046,0.409408569,-0.215484619,9.622314453,0.001953125,-1.53E-05,3.05E-05,1
376,11014834,887.5377197,628.3515015,0.435294151,3.612903118,1,2,landscape,176.8639526,1.310353994,2.374402046,0.409408569,-0.215484619,9.622314453,0.001953125,-1.53E-05,3.05E-05,1
377,11014841,887.5377197,628.3515015,0.435294151,3.612903118,1,1,landscape,176.8639526,1.310353994,2.374402046,0.409408569,-0.215484619,9.622314453,0.001953125,-1.53E-05,3.05E-05,1
378,11015104,1141.405518,270.6827087,0.466666698,3.096774101,1,0,landscape,176.7901001,1.295113921,2.363019228,0.440536499,-0.16998291,9.224868774,-0.005508423,0.03302002,0.00428772,1
379,11015191,1121.963867,285.3467407,0.466666698,4.129032135,1,2,landscape,176.7521973,1.30334878,2.308170557,0.363922119,-0.17956543,9.591186523,0.005142212,-0.008529663,0.003219604,1
380,11015241,1096.621094,325.2476196,0.466666698,4.129032135,1,2,landscape,176.8267822,1.30500865,2.323108673,0.32800293,-0.25378418,9.689346313,0.00302124,-0.00213623,3.05E-05,1
381,11015291,1068.399536,374.048645,0.466666698,4.129032135,1,2,landscape,176.8271484,1.305772781,2.317634821,0.356735229,-0.19631958,9.607940674,0.00302124,-0.005340576,-0.001037598,1
382,11015341,1038.324585,419.133667,0.466666698,4.129032135,1,2,landscape,176.9043579,1.306132078,2.351887465,0.36869812,-0.22744751,9.636672974,0.004089355,-0.005340576,-0.002105713,1
383,11015391,1004.199707,469.2019653,0.466666698,4.129032135,1,2,landscape,176.9268188,1.311664224,2.351922989,0.337585449,-0.24420166,9.663009644,0.001953125,-0.004272461,3.05E-05,1
384,11015458,959.5045776,541.9239502,0.466666698,4.129032135,1,2,landscape,176.946167,1.295618057,2.375795603,0.387863159,-0.22505188,9.588790894,0.004089355,-0.004272461,0.001098633,1
385,11015491,939.9332886,575.4105225,0.466666698,4.129032135,1,2,landscape,176.9042358,1.295910001,2.386153698,0.42137146,-0.22026062,9.605545044,0.00302124,-0.005340576,0.001098633,1
386,11015541,914.3154907,615.6756592,0.466666698,4.129032135,1,2,landscape,176.885376,1.2940768,2.389776468,0.37828064,-0.22744751,9.725265503,0.00088501,-0.00213623,3.05E-05,1
387,11015591,902.3580322,635.5168457,0.466666698,4.129032135,1,2,landscape,176.883728,1.29778254,2.382493258,0.390258789,-0.237030029,9.624694824,-0.000183105,0.005310059,-0.001037598,1
